image_id	image_path	level	mode	image_idx	node_id	label	prompt_text	path_labels	clip_cosine
000034.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg	6	path	1	tm-labqwtqc	Cène	a religious painting of Cène, a passion in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> Cène	0.2781796455383301
000034.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg	6	raw	1	tm-rv3awyda	Christ lavant les pieds des apôtres	Christ lavant les pieds des apôtres	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> Christ lavant les pieds des apôtres	0.26194149255752563
000034.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000034.jpg	6	template	1	tm-labqwtqc	Cène	a religious painting of Cène	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> Cène	0.2693864107131958
000207.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000207.jpg	6	path	6	tm-kewga8kz	création des poissons et des oiseaux	a religious painting of création des poissons et des oiseaux, a Création (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Genèse -> Création (sujets) -> création des poissons et des oiseaux	0.2696317434310913
000207.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000207.jpg	6	raw	6	tm-kewga8kz	création des poissons et des oiseaux	création des poissons et des oiseaux	sujet -> Bible -> Ancien Testament -> Genèse -> Création (sujets) -> création des poissons et des oiseaux	0.13438156247138977
000207.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000207.jpg	6	template	6	tm-kewga8kz	création des poissons et des oiseaux	a religious painting of création des poissons et des oiseaux	sujet -> Bible -> Ancien Testament -> Genèse -> Création (sujets) -> création des poissons et des oiseaux	0.27327072620391846
000253.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000253.jpg	6	path	7	tm-vx2bdgtc	sortie d'Égypte	a religious painting of sortie d'Égypte, a Moïse (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> sortie d'Égypte	0.2452341616153717
000253.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000253.jpg	6	raw	7	tm-vx2bdgtc	sortie d'Égypte	sortie d'Égypte	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> sortie d'Égypte	0.1562180370092392
000253.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000253.jpg	6	template	7	tm-vx2bdgtc	sortie d'Égypte	a religious painting of sortie d'Égypte	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> sortie d'Égypte	0.2238900065422058
000279.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000279.jpg	6	path	8	tm-h7vxh9ju	création de la lumière	a religious painting of création de la lumière, a Création (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Genèse -> Création (sujets) -> création de la lumière	0.28038346767425537
000279.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000279.jpg	6	raw	8	tm-h7vxh9ju	création de la lumière	création de la lumière	sujet -> Bible -> Ancien Testament -> Genèse -> Création (sujets) -> création de la lumière	0.18513275682926178
000279.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000279.jpg	6	template	8	tm-h7vxh9ju	création de la lumière	a religious painting of création de la lumière	sujet -> Bible -> Ancien Testament -> Genèse -> Création (sujets) -> création de la lumière	0.2781597971916199
000816.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000816.jpg	6	path	18	tm-d9fpbefh	baptême du Christ	a religious painting of baptême du Christ, a vie publique in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> vie publique -> baptême du Christ	0.24752508103847504
000816.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000816.jpg	6	raw	18	tm-d9fpbefh	baptême du Christ	baptême du Christ	sujet -> Bible -> Nouveau Testament -> vie du Christ -> vie publique -> baptême du Christ	0.2409009039402008
000816.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000816.jpg	6	template	18	tm-d9fpbefh	baptême du Christ	a religious painting of baptême du Christ	sujet -> Bible -> Nouveau Testament -> vie du Christ -> vie publique -> baptême du Christ	0.2449422925710678
000893.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000893.jpg	6	path	21	tm-vx2bdgtc	sortie d'Égypte	a religious painting of sortie d'Égypte, a Moïse (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> sortie d'Égypte	0.24924378097057343
000893.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000893.jpg	6	raw	21	tm-vx2bdgtc	sortie d'Égypte	sortie d'Égypte	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> sortie d'Égypte	0.1303447037935257
000893.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000893.jpg	6	template	21	tm-vx2bdgtc	sortie d'Égypte	a religious painting of sortie d'Égypte	sujet -> Bible -> Ancien Testament -> Exode -> Moïse (sujets) -> sortie d'Égypte	0.22975221276283264
000942.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000942.jpg	6	path	23	tm-kgblaf2c	jugement de Salomon	a religious painting of jugement de Salomon, a Salomon (sujets) in sujet	sujet -> Bible -> Ancien Testament -> les Rois -> Salomon (sujets) -> jugement de Salomon	0.27785852551460266
000942.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000942.jpg	6	raw	23	tm-kgblaf2c	jugement de Salomon	jugement de Salomon	sujet -> Bible -> Ancien Testament -> les Rois -> Salomon (sujets) -> jugement de Salomon	0.22196879982948303
000942.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000942.jpg	6	template	23	tm-kgblaf2c	jugement de Salomon	a religious painting of jugement de Salomon	sujet -> Bible -> Ancien Testament -> les Rois -> Salomon (sujets) -> jugement de Salomon	0.27244120836257935
001137.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001137.jpg	6	path	29	tm-ggtqslg5	sixième sceau de l'Apocalypse : anges retenant les vents	a religious painting of sixième sceau de l'Apocalypse : anges retenant les vents, a ouverture des sept sceaux in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> ouverture des sept sceaux -> sixième sceau de l'Apocalypse : anges retenant les vents	0.3216039836406708
001137.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001137.jpg	6	raw	29	tm-ggtqslg5	sixième sceau de l'Apocalypse : anges retenant les vents	sixième sceau de l'Apocalypse : anges retenant les vents	sujet -> Bible -> Nouveau Testament -> Apocalypse -> ouverture des sept sceaux -> sixième sceau de l'Apocalypse : anges retenant les vents	0.2275197058916092
001137.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001137.jpg	6	template	29	tm-ggtqslg5	sixième sceau de l'Apocalypse : anges retenant les vents	a religious painting of sixième sceau de l'Apocalypse : anges retenant les vents	sujet -> Bible -> Nouveau Testament -> Apocalypse -> ouverture des sept sceaux -> sixième sceau de l'Apocalypse : anges retenant les vents	0.299031138420105
001184.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001184.jpg	6	path	31	tm-3tmpspdf	ange jetant une meule dans la mer	a religious painting of ange jetant une meule dans la mer, a prostituée et destruction de Babylone in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> prostituée et destruction de Babylone -> ange jetant une meule dans la mer	0.3327847421169281
001184.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001184.jpg	6	raw	31	tm-3tmpspdf	ange jetant une meule dans la mer	ange jetant une meule dans la mer	sujet -> Bible -> Nouveau Testament -> Apocalypse -> prostituée et destruction de Babylone -> ange jetant une meule dans la mer	0.3016816973686218
001184.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001184.jpg	6	template	31	tm-3tmpspdf	ange jetant une meule dans la mer	a religious painting of ange jetant une meule dans la mer	sujet -> Bible -> Nouveau Testament -> Apocalypse -> prostituée et destruction de Babylone -> ange jetant une meule dans la mer	0.33666062355041504
001303.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001303.jpg	6	path	35	tm-a82fhexi	entrée du Christ à Jérusalem	a religious painting of entrée du Christ à Jérusalem, a passion in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> entrée du Christ à Jérusalem	0.2779020667076111
001303.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001303.jpg	6	raw	35	tm-a82fhexi	entrée du Christ à Jérusalem	entrée du Christ à Jérusalem	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> entrée du Christ à Jérusalem	0.19753684103488922
001303.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001303.jpg	6	template	35	tm-a82fhexi	entrée du Christ à Jérusalem	a religious painting of entrée du Christ à Jérusalem	sujet -> Bible -> Nouveau Testament -> vie du Christ -> passion -> entrée du Christ à Jérusalem	0.27012506127357483
001694.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001694.jpg	6	path	44	tm-h78uswml	adoration de l'agneau divin sur le mont Sion	a religious painting of adoration de l'agneau divin sur le mont Sion, a vision de l'agneau, moisson et vendange divines in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> vision de l'agneau, moisson et vendange divines -> adoration de l'agneau divin sur le mont Sion	0.2747010588645935
001694.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001694.jpg	6	raw	44	tm-h78uswml	adoration de l'agneau divin sur le mont Sion	adoration de l'agneau divin sur le mont Sion	sujet -> Bible -> Nouveau Testament -> Apocalypse -> vision de l'agneau, moisson et vendange divines -> adoration de l'agneau divin sur le mont Sion	0.2700212597846985
001694.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001694.jpg	6	template	44	tm-h78uswml	adoration de l'agneau divin sur le mont Sion	a religious painting of adoration de l'agneau divin sur le mont Sion	sujet -> Bible -> Nouveau Testament -> Apocalypse -> vision de l'agneau, moisson et vendange divines -> adoration de l'agneau divin sur le mont Sion	0.25626444816589355
001717.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001717.jpg	6	path	45	tm-aztf9mvn	saint Jean écrivant	a religious painting of saint Jean écrivant, a messages aux sept Églises d'Asie in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> messages aux sept Églises d'Asie -> saint Jean écrivant	0.28907305002212524
001717.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001717.jpg	6	raw	45	tm-aztf9mvn	saint Jean écrivant	saint Jean écrivant	sujet -> Bible -> Nouveau Testament -> Apocalypse -> messages aux sept Églises d'Asie -> saint Jean écrivant	0.2349880337715149
001717.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001717.jpg	6	template	45	tm-aztf9mvn	saint Jean écrivant	a religious painting of saint Jean écrivant	sujet -> Bible -> Nouveau Testament -> Apocalypse -> messages aux sept Églises d'Asie -> saint Jean écrivant	0.2527974843978882
001749.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001749.jpg	6	path	46	tm-ewtkhvz8	meurtre des deux témoins de l'Apocalypse	a religious painting of meurtre des deux témoins de l'Apocalypse, a témoins de l'Apocalypse in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> témoins de l'Apocalypse -> meurtre des deux témoins de l'Apocalypse	0.28704607486724854
001749.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001749.jpg	6	raw	46	tm-ewtkhvz8	meurtre des deux témoins de l'Apocalypse	meurtre des deux témoins de l'Apocalypse	sujet -> Bible -> Nouveau Testament -> Apocalypse -> témoins de l'Apocalypse -> meurtre des deux témoins de l'Apocalypse	0.22047370672225952
001749.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001749.jpg	6	template	46	tm-ewtkhvz8	meurtre des deux témoins de l'Apocalypse	a religious painting of meurtre des deux témoins de l'Apocalypse	sujet -> Bible -> Nouveau Testament -> Apocalypse -> témoins de l'Apocalypse -> meurtre des deux témoins de l'Apocalypse	0.2818593382835388
001777.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001777.jpg	6	path	47	tm-ytphytj3	sept coupes de l'Apocalypse : fléaux	a religious painting of sept coupes de l'Apocalypse : fléaux, a sept coupes de l'Apocalypse in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> sept coupes de l'Apocalypse -> sept coupes de l'Apocalypse : fléaux	0.2969251275062561
001777.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001777.jpg	6	raw	47	tm-ytphytj3	sept coupes de l'Apocalypse : fléaux	sept coupes de l'Apocalypse : fléaux	sujet -> Bible -> Nouveau Testament -> Apocalypse -> sept coupes de l'Apocalypse -> sept coupes de l'Apocalypse : fléaux	0.1813959777355194
001777.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001777.jpg	6	template	47	tm-ytphytj3	sept coupes de l'Apocalypse : fléaux	a religious painting of sept coupes de l'Apocalypse : fléaux	sujet -> Bible -> Nouveau Testament -> Apocalypse -> sept coupes de l'Apocalypse -> sept coupes de l'Apocalypse : fléaux	0.2875525951385498
001802.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001802.jpg	6	path	48	tm-feckmfoe	défaite de la Bête de l'Apocalypse	a religious painting of défaite de la Bête de l'Apocalypse, a triomphe du Christ in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> triomphe du Christ -> défaite de la Bête de l'Apocalypse	0.25273415446281433
001802.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001802.jpg	6	raw	48	tm-feckmfoe	défaite de la Bête de l'Apocalypse	défaite de la Bête de l'Apocalypse	sujet -> Bible -> Nouveau Testament -> Apocalypse -> triomphe du Christ -> défaite de la Bête de l'Apocalypse	0.19234441220760345
001802.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001802.jpg	6	template	48	tm-feckmfoe	défaite de la Bête de l'Apocalypse	a religious painting of défaite de la Bête de l'Apocalypse	sujet -> Bible -> Nouveau Testament -> Apocalypse -> triomphe du Christ -> défaite de la Bête de l'Apocalypse	0.2844974398612976
001912.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001912.jpg	6	path	51	tm-wjlzmegu	combat entre saint Michel et le dragon de l'Apocalypse	a religious painting of combat entre saint Michel et le dragon de l'Apocalypse, a dragon et bête de l'Apocalypse in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> dragon et bête de l'Apocalypse -> combat entre saint Michel et le dragon de l'Apocalypse	0.3287068009376526
001912.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001912.jpg	6	raw	51	tm-wjlzmegu	combat entre saint Michel et le dragon de l'Apocalypse	combat entre saint Michel et le dragon de l'Apocalypse	sujet -> Bible -> Nouveau Testament -> Apocalypse -> dragon et bête de l'Apocalypse -> combat entre saint Michel et le dragon de l'Apocalypse	0.3102571964263916
001912.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\001912.jpg	6	template	51	tm-wjlzmegu	combat entre saint Michel et le dragon de l'Apocalypse	a religious painting of combat entre saint Michel et le dragon de l'Apocalypse	sujet -> Bible -> Nouveau Testament -> Apocalypse -> dragon et bête de l'Apocalypse -> combat entre saint Michel et le dragon de l'Apocalypse	0.3195633888244629
002245.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002245.jpg	6	path	61	tm-frszntoo	Pentecôte	a religious painting of Pentecôte, a résurrection (sujets) in sujet	sujet -> Bible -> Nouveau Testament -> vie du Christ -> résurrection (sujets) -> Pentecôte	0.2893252372741699
002245.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002245.jpg	6	raw	61	tm-frszntoo	Pentecôte	Pentecôte	sujet -> Bible -> Nouveau Testament -> vie du Christ -> résurrection (sujets) -> Pentecôte	0.1594971865415573
002245.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002245.jpg	6	template	61	tm-frszntoo	Pentecôte	a religious painting of Pentecôte	sujet -> Bible -> Nouveau Testament -> vie du Christ -> résurrection (sujets) -> Pentecôte	0.2842465043067932
002269.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002269.jpg	6	path	62	tm-twnfftbh	psaume 81 : David musicien	a religious painting of psaume 81 : David musicien, a David (sujets) in sujet	sujet -> Bible -> Ancien Testament -> les Rois -> David (sujets) -> psaume 81 : David musicien	0.2780698537826538
002269.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002269.jpg	6	raw	62	tm-twnfftbh	psaume 81 : David musicien	psaume 81 : David musicien	sujet -> Bible -> Ancien Testament -> les Rois -> David (sujets) -> psaume 81 : David musicien	0.16184072196483612
002269.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002269.jpg	6	template	62	tm-twnfftbh	psaume 81 : David musicien	a religious painting of psaume 81 : David musicien	sujet -> Bible -> Ancien Testament -> les Rois -> David (sujets) -> psaume 81 : David musicien	0.24387900531291962
002302.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002302.jpg	6	path	63	tm-vl6ccqxy	sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	a religious painting of sixième sceau de l'Apocalypse : tremblement de terre, chute des astres, a ouverture des sept sceaux in sujet	sujet -> Bible -> Nouveau Testament -> Apocalypse -> ouverture des sept sceaux -> sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	0.31608378887176514
002302.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002302.jpg	6	raw	63	tm-vl6ccqxy	sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	sujet -> Bible -> Nouveau Testament -> Apocalypse -> ouverture des sept sceaux -> sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	0.1974642276763916
002302.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002302.jpg	6	template	63	tm-vl6ccqxy	sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	a religious painting of sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	sujet -> Bible -> Nouveau Testament -> Apocalypse -> ouverture des sept sceaux -> sixième sceau de l'Apocalypse : tremblement de terre, chute des astres	0.31165003776550293
